name,ranking,categories,mechanics,yearpublished,playingtime,minage,usersrate,average,bayesaverage,stddev,numcomments,numweights,averageweight,recom_plyrs_int,avgprice,numcat,nummech,langdep
Eclipse: Second Dawn for the Galaxy,27,"Civilization, Science Fiction, Space Exploration, Wargame","Alliances, Area Majority / Influence, Area Movement, Area-Impulse, Critical Hits and Failures, Dice Rolling, Grid Movement, Hexagon Grid, Income, Kill Steal, Modular Board, Passed Action Token, Player Elimination, Tech Trees / Tech Tracks, Tile Placement, Variable Player Powers",2020,200,14,8345,8.56491,7.91897,1.34777,1316,324,3.6049,4,188.19,4,16,1
Root,28,"Animals, Fantasy, Wargame","Action Queue, Action Retrieval, Area Majority / Influence, Area Movement, Dice Rolling, Hand Management, Point to Point Movement, Race, Sudden Death Ending, Variable Player Powers, Variable Set-up",2018,90,10,38438,8.09228,7.89604,1.43896,5697,1544,3.7545,4,103.47,3,11,4
Orléans,29,"Medieval, Religious, Travel","Contracts, Deck Bag and Pool Building, End Game Bonuses, Events, Point to Point Movement, Simultaneous Action Selection, Tech Trees / Tech Tracks, Turn Order: Progressive, Variable Set-up",2014,90,12,27053,8.06798,7.87919,1.16393,3956,942,3.035,4,51.98,3,9,1
Viticulture Essential Edition,30,"Economic, Farming","Contracts, Hand Management, Solo / Solitaire Game, Turn Order: Auction, Victory Points as a Resource, Worker Placement, Worker Placement Different Worker Types",2015,90,13,40166,8.03082,7.87777,1.26498,5430,1195,2.8862,4,53.66,2,7,3
Everdell,31,"Animals, Card Game, City Building, Fantasy","Contracts, End Game Bonuses, Hand Management, Income, Open Drafting, Ownership, Set Collection, Solo / Solitaire Game, Variable Set-up, Worker Placement",2018,80,13,37982,8.07519,7.87759,1.28094,5146,1141,2.8054,3,93.43,4,10,4
Lost Ruins of Arnak,32,"Adventure, Exploration, Travel","Contracts, Deck Bag and Pool Building, Move Through Deck, Once-Per-Game Abilities, Open Drafting, Resource to Move, Solo / Solitaire Game, Turn Order: Progressive, Worker Placement",2020,120,12,27827,8.09357,7.87603,1.21922,3573,928,2.8804,3,51.78,3,9,3
Mage Knight Board Game,33,"Adventure, Exploration, Fantasy, Fighting","Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Grid Movement, Hand Management, Hexagon Grid, Modular Board, Open Drafting, Role Playing, Solo / Solitaire Game, Variable Player Powers",2011,240,14,30845,8.09344,7.86845,1.62706,6027,2556,4.3392,1,100.98,4,11,4
Food Chain Magnate,34,"Economic, Industry / Manufacturing","Deck Bag and Pool Building, Delayed Purchase, Income, Market, Modular Board, Open Drafting, Simultaneous Action Selection, Victory Points as a Resource",2015,240,14,17298,8.10073,7.83133,1.58598,2965,850,4.2082,3,117.25,2,8,2
Barrage,35,"Economic, Environmental, Industry / Manufacturing","Contracts, End Game Bonuses, Income, Network and Route Building, Ownership, Solo / Solitaire Game, Turn Order: Stat-Based, Variable Player Powers, Variable Set-up, Worker Placement",2019,120,14,12423,8.21106,7.82936,1.43349,1929,744,4.0685,4,89.96,3,10,1
Marvel Champions: The Card Game,36,"Card Game, Collectible Components, Comic Book / Strip","Cooperative Game, Deck Construction, Hand Management, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Variable Player Powers, Variable Set-up",2019,90,14,18003,8.18316,7.82078,1.43081,2402,571,2.8984,2,102.18,3,7,4
Puerto Rico,37,"City Building, Economic, Farming","Action Drafting, End Game Bonuses, Follow, Hidden Victory Points, Increase Value of Unchosen Resources, Turn Order: Progressive, Variable Phase Order",2002,150,12,67448,7.94708,7.81415,1.39021,12475,6124,3.275,4,61.0,3,7,3
Too Many Bones,38,"Adventure, Dice, Fantasy, Fighting","Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Die Icon Resolution, Hand Management, Resource to Move, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Stat Check Resolution, Tech Trees / Tech Tracks, Turn Order: Role Order, Variable Player Powers",2017,120,12,9330,8.38858,7.80826,1.54751,1839,376,3.859,3,154.99,4,13,4
Caverna: The Cave Farmers,39,"Animals, Economic, Fantasy, Farming","Automatic Resource Growth, Increase Value of Unchosen Resources, Solo / Solitaire Game, Tile Placement, Turn Order: Claim Action, Worker Placement",2013,210,12,31337,7.9856,7.80587,1.34131,5034,1566,3.7829,4,82.99,4,6,3
Blood Rage,40,"Fantasy, Fighting, Miniatures, Mythology","Action Points, Area Majority / Influence, Area Movement, Card Play Conflict Resolution, Closed Drafting, Hand Management, Map Reduction, Memory, Open Drafting, Simultaneous Action Selection",2015,90,14,41196,7.96984,7.79661,1.41244,6139,1335,2.8801,4,171.09,4,10,3
Pax Pamir: Second Edition,41,"Economic, Educational, Negotiation, Political, Post-Napoleonic, Spies/Secret Agents","Action Points, Area Majority / Influence, Area Movement, Hand Management, Increase Value of Unchosen Resources, Open Drafting, Score-and-Reset Game, Simulation, Solo / Solitaire Game",2019,120,13,9275,8.30466,7.79111,1.43816,1799,482,3.834,4,122.66,6,9,3
Agricola,42,"Animals, Economic, Farming","Automatic Resource Growth, Closed Drafting, Enclosure, Hand Management, Increase Value of Unchosen Resources, Solo / Solitaire Game, Turn Order: Claim Action, Variable Player Powers, Worker Placement",2007,150,12,68566,7.90648,7.78675,1.55104,13261,6185,3.637,4,49.98,3,9,4
Underwater Cities,43,"Card Game, City Building, Civilization, Industry / Manufacturing, Nautical, Science Fiction","End Game Bonuses, Hand Management, Income, Network and Route Building, Solo / Solitaire Game, Turn Order: Stat-Based, Worker Placement",2018,150,12,15230,8.08718,7.78334,1.18841,2227,563,3.6075,2,57.88,6,7,3
The Crew: Mission Deep Sea,44,"Card Game, Nautical","Communication Limits, Cooperative Game, Scenario / Mission / Campaign Game, Trick-taking",2021,20,10,7875,8.32121,7.77247,1.24304,1143,143,2.021,4,14.94,2,4,3
Anachrony,45,"Economic, Science Fiction","Dice Rolling, Solo / Solitaire Game, Turn Order: Claim Action, Variable Player Powers, Worker Placement, Worker Placement Different Worker Types",2017,120,15,15113,8.10408,7.76554,1.38793,2626,843,4.013,3,183.28,2,6,1
Maracaibo,46,"Economic, Exploration, Pirates","Contracts, End Game Bonuses, Events, Hand Management, Income, Movement Points, Narrative Choice / Paragraph, Point to Point Movement, Scenario / Mission / Campaign Game, Set Collection, Solo / Solitaire Game, Stock Holding, Sudden Death Ending, Tech Trees / Tech Tracks, Track Movement, Variable Set-up",2019,120,12,12997,8.11907,7.76212,1.2834,1929,677,3.8981,3,61.41,3,16,2
Mansions of Madness: Second Edition,47,"Adventure, Exploration, Fighting, Horror, Miniatures, Murder/Mystery, Puzzle","Area Movement, Cooperative Game, Dice Rolling, Hand Management, Map Addition, Modular Board, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Stat Check Resolution, Team-Based Game, Traitor Game, Variable Player Powers",2016,180,14,31386,7.99332,7.75654,1.49184,4205,646,2.6672,4,105.59,7,13,4
Pandemic Legacy: Season 2,48,"Environmental, Exploration, Medical, Science Fiction","Cooperative Game, Hand Management, Legacy Game, Pick-up and Deliver, Point to Point Movement, Set Collection, Trading, Variable Player Powers",2017,60,14,14889,8.07047,7.75613,1.6933,2291,268,3.2537,4,64.42,4,8,4
On Mars,49,"City Building, Economic, Exploration, Science Fiction, Space Exploration, Territory Building","Closed Drafting, Contracts, Delayed Purchase, End Game Bonuses, Hand Management, Hexagon Grid, Income, Movement Points, Moving Multiple Units, Set Collection, Solo / Solitaire Game, Tech Trees / Tech Tracks, Tile Placement, Variable Phase Order, Worker Placement",2020,150,14,9613,8.23244,7.7416,1.49626,1716,1259,4.664,3,120.44,6,15,1
The Crew: The Quest for Planet Nine,50,"Card Game, Science Fiction, Space Exploration","Communication Limits, Cooperative Game, Hand Management, Scenario / Mission / Campaign Game, Trick-taking",2019,20,10,31968,7.90049,7.73926,1.28718,4132,641,1.9735,4,11.7,3,5,1
Tzolk'in: The Mayan Calendar,51,"Ancient, Civilization, Economic, Farming, Mythology","Bias, End Game Bonuses, Turn Order: Claim Action, Worker Placement",2012,90,13,35520,7.88108,7.73044,1.26196,5211,1824,3.6732,4,45.22,5,4,1
Power Grid,52,"Economic, Industry / Manufacturing","Auction/Bidding, Auction: Turn Order Until Pass, Catch the Leader, Income, Market, Network and Route Building, Turn Order: Stat-Based",2004,120,12,61029,7.83176,7.72513,1.33535,10931,4838,3.2606,4,41.15,2,7,1
Clans of Caledonia,53,"Economic, Farming","Commodity Speculation, Contracts, Dice Rolling, Market, Modular Board, Network and Route Building, Solo / Solitaire Game, Turn Order: Pass Order, Variable Player Powers, Variable Set-up",2017,120,12,18177,7.96696,7.70929,1.1775,2721,724,3.4669,4,124.69,2,10,1
Crokinole,54,Action / Dexterity,"Flicking, Team-Based Game",1876,30,8,14927,7.97993,7.70697,1.61583,3093,634,1.2429,2,219.8,1,2,1
Cascadia,55,"Animals, Puzzle","End Game Bonuses, Hexagon Grid, Open Drafting, Pattern Building, Solo / Solitaire Game, Tile Placement, Variable Set-up",2021,45,10,15943,8.01042,7.70681,1.09422,2337,474,1.8523,2,48.26,2,7,2
Star Wars: Imperial Assault,56,"Adventure, Exploration, Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame","Dice Rolling, Die Icon Resolution, Grid Movement, Line of Sight, Modular Board, Role Playing, Scenario / Mission / Campaign Game, Square Grid, Team-Based Game, Variable Player Powers",2014,120,14,22916,7.98438,7.70238,1.41535,3458,877,3.3044,5,88.78,7,10,4
Le Havre,57,"City Building, Economic, Industry / Manufacturing, Nautical","Automatic Resource Growth, End Game Bonuses, Increase Value of Unchosen Resources, Loans, Ownership, Solo / Solitaire Game, Worker Placement",2008,150,12,29416,7.86056,7.70201,1.41504,5680,1959,3.732,3,77.6,4,7,3
Lisboa,58,"City Building, Economic, Industry / Manufacturing, Political","Area Majority / Influence, Hand Management, Open Drafting, Solo / Solitaire Game, Tile Placement",2017,120,12,8968,8.19676,7.70097,1.44747,1716,853,4.5768,3,110.0,4,5,1
Pandemic Legacy: Season 0,59,Spies/Secret Agents,"Action Points, Cooperative Game, Hand Management, Legacy Game, Point to Point Movement, Set Collection, Variable Player Powers",2020,60,14,5212,8.51271,7.69966,1.5235,791,107,3.1028,4,65.66,1,7,4
Kingdom Death: Monster,60,"Adventure, Fantasy, Horror, Mature / Adult, Miniatures, Mythology","Cooperative Game, Critical Hits and Failures, Dice Rolling, Grid Movement, Role Playing, Solo / Solitaire Game, Storytelling",2015,180,17,8686,8.55514,7.69956,1.99446,1966,565,4.2602,4,356.92,6,7,4
Mechs vs. Minions,61,"Fantasy, Fighting, Miniatures, Video Game Theme","Action Queue, Bias, Cooperative Game, Dice Rolling, Modular Board, Open Drafting, Programmed Movement, Role Playing, Slide/Push, Variable Player Powers",2016,120,14,16059,7.99916,7.69639,1.34635,2536,297,2.4141,4,153.3,4,10,3
The Quacks of Quedlinburg,62,Medieval,"Catch the Leader, Deck Bag and Pool Building, Delayed Purchase, Dice Rolling, Events, Market, Push Your Luck, Variable Set-up",2018,45,10,36811,7.84561,7.69338,1.24566,4895,886,1.9424,4,81.45,1,8,3
The Gallerist,63,Economic,"Commodity Speculation, Investment, Set Collection, Solo / Solitaire Game, Victory Points as a Resource, Worker Placement",2015,150,13,12359,8.04428,7.68799,1.35354,2138,836,4.2644,4,121.0,1,6,1
Paladins of the West Kingdom,64,Medieval,"Market, Open Drafting, Solo / Solitaire Game, Worker Placement, Worker Placement Different Worker Types",2019,120,12,13730,8.01305,7.67772,1.23258,2008,628,3.6959,2,43.37,1,5,2
Azul,65,"Abstract Strategy, Puzzle, Renaissance","End Game Bonuses, Open Drafting, Pattern Building, Tile Placement, Turn Order: Claim Action",2017,45,8,72048,7.77574,7.66376,1.15169,9033,1875,1.7621,2,30.0,3,5,1
Android: Netrunner,66,"Bluffing, Card Game, Collectible Components, Science Fiction","Action Points, Deck Construction, Hand Management, Race, Secret Unit Deployment, Take That, Variable Player Powers",2012,45,14,28616,7.87611,7.66341,1.66495,5939,1618,3.398,2,66.0,4,7,4
Eclipse,67,"Civilization, Fighting, Science Fiction, Space Exploration, Wargame","Area Majority / Influence, Dice Rolling, Grid Movement, Hexagon Grid, Map Addition, Modular Board, Player Elimination, Tile Placement, Variable Phase Order, Variable Player Powers",2011,180,14,27394,7.8592,7.65843,1.49573,4952,1924,3.7017,4,59.95,5,10,1
Aeon's End,68,"Card Game, Fantasy, Fighting, Science Fiction","Chit-Pull System, Cooperative Game, Deck Bag and Pool Building, Delayed Purchase, Hand Management, Open Drafting, Solo / Solitaire Game, Variable Phase Order, Variable Player Powers, Variable Set-up",2016,60,14,16311,7.96632,7.65111,1.34647,2689,444,2.7905,2,129.51,4,10,4
Through the Ages: A Story of Civilization,69,"Civilization, Economic","Action Points, Auction/Bidding, Auction: Dutch, Hand Management, Open Drafting",2006,120,12,18715,7.8826,7.6471,1.69173,4107,1819,4.1743,3,75.0,2,5,4
Race for the Galaxy,70,"Card Game, Civilization, Economic, Science Fiction, Space Exploration","Action Drafting, Follow, Hand Management, Set Collection, Simultaneous Action Selection, Turn Order: Role Order, Variable Phase Order, Variable Player Powers",2007,60,12,51369,7.75436,7.64485,1.47362,10376,3619,2.9887,2,32.68,5,8,2
The 7th Continent,71,"Adventure, Card Game, Exploration, Science Fiction","Area Movement, Cooperative Game, Hand Management, Map Addition, Modular Board, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Storytelling, Variable Player Powers",2017,1000,14,20266,7.95237,7.64438,1.66075,4260,574,2.9024,1,146.97,4,9,4
Clank!: A Deck-Building Adventure,72,"Adventure, Fantasy","Deck Bag and Pool Building, Delayed Purchase, End Game Bonuses, Movement Points, Open Drafting, Player Elimination, Point to Point Movement, Push Your Luck, Variable Set-up",2016,60,12,35906,7.80823,7.64316,1.20168,4722,777,2.2201,3,46.59,2,9,3
Great Western Trail (Second Edition),73,"American West, Animals, Economic","Deck Bag and Pool Building, Hand Management, Ownership, Set Collection, Solo / Solitaire Game, Track Movement, Variable Set-up",2021,150,12,4726,8.51502,7.63942,1.27006,634,158,3.7089,3,54.89,3,7,1
Fields of Arle,74,"Economic, Farming, Industry / Manufacturing","Automatic Resource Growth, Highest-Lowest Scoring, Income, Set Collection, Solo / Solitaire Game, Turn Order: Claim Action, Turn Order: Progressive, Worker Placement",2014,120,13,9781,8.05811,7.63394,1.28247,1829,498,3.8655,2,67.33,3,8,2
Five Tribes,75,"Arabian, Fantasy, Mythology","Auction/Bidding, Constrained Bidding, End Game Bonuses, Hidden Victory Points, Mancala, Modular Board, Set Collection, Square Grid, Take That, Turn Order: Auction, Variable Player Powers, Variable Set-up, Victory Points as a Resource",2014,80,13,37381,7.7804,7.63374,1.27162,5556,1391,2.8519,2,52.31,3,13,1
Grand Austria Hotel,76,"Card Game, Dice, Economic","Action Drafting, Contracts, Dice Rolling, End Game Bonuses, Hand Management, Once-Per-Game Abilities, Set Collection, Variable Set-up",2015,120,12,16554,7.90066,7.63131,1.26432,2671,665,3.215,2,103.99,3,8,1
Kanban EV,77,"Economic, Industry / Manufacturing","Action Points, Hand Management, Variable Phase Order, Worker Placement",2020,180,14,4681,8.51103,7.63116,1.27505,844,291,4.3436,3,109.5,2,4,1
Agricola (Revised Edition),78,"Animals, Economic, Farming","Enclosure, Hand Management, Worker Placement, Advantage Token, Automatic Resource Growth, Closed Drafting, Increase Value of Unchosen Resources, Solo / Solitaire Game, Team-Based Game, Turn Order: Claim Action, Variable Player Powers",2016,120,12,13862,7.97727,7.62725,1.43028,1809,469,3.4989,4,61.82,3,11,4
Teotihuacan: City of Gods,79,Ancient,"Area Movement, Rondel, Set Collection, Solo / Solitaire Game, Tile Placement, Track Movement, Variable Set-up, Worker Placement with Dice Workers",2018,120,14,16995,7.89878,7.62681,1.29264,2427,759,3.7694,4,60.29,1,8,1
Robinson Crusoe: Adventures on the Cursed Island,80,"Adventure, Exploration, Fighting, Novel-based, Territory Building","Action Queue, Area Movement, Cooperative Game, Dice Rolling, Die Icon Resolution, Events, Hexagon Grid, Map Addition, Movement Points, Narrative Choice / Paragraph, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Tile Placement, Turn Order: Progressive, Variable Player Powers, Worker Placement",2012,120,14,39478,7.79067,7.62037,1.43349,6606,2076,3.8054,1,44.95,5,16,4
The Voyages of Marco Polo,81,"Dice, Economic, Medieval, Travel","Contracts, Dice Rolling, Income, Point to Point Movement, Resource to Move, Turn Order: Claim Action, Variable Player Powers, Variable Set-up, Worker Placement with Dice Workers",2015,100,12,23014,7.81591,7.61777,1.2673,3321,1074,3.189,4,56.66,4,9,1
Sleeping Gods,82,"Adventure, Exploration, Fantasy, Nautical","Action Points, Cooperative Game, Events, Hand Management, Push Your Luck, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Storytelling",2021,1200,13,5408,8.41776,7.61272,1.45416,1407,206,3.1942,2,114.46,4,8,4
7 Wonders,83,"Ancient, Card Game, City Building, Civilization, Economic","Closed Drafting, Hand Management, Set Collection, Simultaneous Action Selection, Variable Player Powers",2010,30,10,95162,7.71415,7.61036,1.27478,15167,4940,2.3225,4,36.12,5,5,1
Lords of Waterdeep,84,"City Building, Fantasy","Contracts, Hidden Roles, Increase Value of Unchosen Resources, Ownership, Set Collection, Take That, Turn Order: Claim Action, Worker Placement",2012,120,12,51229,7.74387,7.60923,1.26899,8522,2248,2.4551,4,42.58,2,8,3
Dominant Species,85,"Animals, Environmental, Prehistoric","Action Queue, Area Majority / Influence, End Game Bonuses, Grid Movement, Hexagon Grid, Map Addition, Open Drafting, Take That, Tile Placement, Turn Order: Claim Action, Variable Player Powers, Worker Placement",2010,240,14,19515,7.82428,7.59911,1.51031,4172,1517,4.0428,4,62.29,3,12,3
